datetime,ticks,open,high,low,close,volume,buy/sell,bid/ask
2016-08-01 9:32:39,130,2185.5,2185.75,2184.75,2184.75,1500,0.861042184,1.292196007
2016-08-01 9:49:46,144,2184.75,2185,2184.25,2184.25,1500,0.275510204,1.650232558
2016-08-01 10:00:15,142,2184.25,2184.5,2184,2184.5,1500,0.746216531,2.54875
2016-08-01 10:15:10,208,2184.5,2185.25,2184,2185.25,1500,1.590673575,0.867029549
2016-08-01 10:33:07,184,2185.25,2185.25,2183.75,2183.75,1500,0.459143969,2.062423501
2016-08-01 10:55:13,141,2183.75,2184,2183.25,2183.25,1500,0.504513541,1.515610218
2016-08-01 11:00:24,341,2183.25,2183.75,2183.25,2183.5,1500,0.97109067,2.975497703
2016-08-01 11:31:51,202,2183.5,2183.75,2183,2183,1500,0.905972046,2.263583815
2016-08-01 11:49:51,206,2183,2183.5,2183,2183.25,1500,0.955671447,2.322580645
2016-08-01 12:17:18,230,2183.25,2184,2183.25,2183.5,1500,1.777777778,2.322580645
2016-08-01 12:36:51,340,2183.5,2183.75,2183.25,2183.75,1500,1.192982456,0.916107383
2016-08-01 13:30:37,250,2183.75,2184.25,2183.5,2184,1500,4.154639175,0.97295082
2016-08-01 14:00:45,136,2184,2184,2183.25,2183.25,1500,0.417769376,2.25
2016-08-01 14:17:12,97,2183.25,2184,2183,2183.5,1500,0.52284264,2.25
2016-08-01 14:29:30,228,2183.5,2183.75,2183,2183,1500,0.551189245,1.834862385
2016-08-01 14:53:02,214,2183,2183.5,2183,2183.25,1500,0.476377953,1.167927383
2016-08-01 15:02:52,76,2183.25,2184,2183,2183.5,1500,3.021447721,1.167927383
2016-08-01 15:05:27,205,2183.5,2184,2183.25,2184,1500,0.710376283,0.810551559
2016-08-01 15:17:05,196,2184,2184.25,2183.25,2183.5,1500,0.463414634,1.453576865
2016-08-01 15:31:19,204,2183.5,2184,2183.25,2184,1500,2.694581281,0.790857143
2016-08-01 15:51:02,115,2184,2184,2183.5,2183.5,1500,0.734104046,1.228045326
2016-08-01 16:00:12,119,2183.5,2183.5,2182.75,2182.75,1500,0.509054326,1.830472103
2016-08-01 16:01:54,32,2182.75,2182.75,2182.25,2182.5,1500,0.233552632,1.267462687
2016-08-01 16:01:59,96,2182.5,2183.25,2182.25,2183.25,1500,1.542372881,1.246175243
2016-08-01 16:04:08,20,2183.25,2183.25,2182.25,2182.5,1500,0.424501425,1.575675676
2016-08-01 16:04:13,103,2182.5,2183,2182.5,2182.75,1500,0.710376283,1.300132802
2016-08-01 16:06:39,88,2182.75,2183.25,2182.5,2182.5,1500,1.586206897,1.202880401
2016-08-01 16:09:59,89,2182.5,2183,2182.25,2182.5,1500,0.547987616,1.572953737
2016-08-01 16:13:00,102,2182.5,2182.75,2181.5,2181.5,1500,0.220504475,1.278191185
2016-08-01 16:16:30,117,2181.5,2181.75,2181.25,2181.5,1500,0.611170784,1.827717737
