,Curr,Past,PP
1,arise,arose,arisen
2,awake,awakened,awakened
3,awake,awoke,awoken
4,backslide,backslid,backslidden
5,be,"was, were",been
6,bear,bore,born
7,beat,beat,beaten
8,become,became,become
9,begin,began,begun
10,bend,bent,bent
11,bet,bet,bet
12,bet,betted,betted
13,bid,bid,bidden
14,bid,bid,bid
15,bind,bound,bound
16,bite,bit,bitten
17,bleed,bled,bled
18,blow,blew,blown
19,break,broke,broken
20,breed,bred,bred
21,bring,brought,brought
22,broadcast,broadcast,broadcast
23,broadcast,broadcasted,broadcasted
24,browbeat,browbeat,browbeaten
25,build,built,built
26,burn,burned,burned
27,burn,burnt,burnt
28,burst,burst,burst
29,bust,busted,busted
30,bust,bust,bust
31,buy,bought,bought
32,cast,cast,cast
33,catch,caught,caught
34,choose,chose,chosen
35,cling,clung,clung
36,clothe,clothed,clothed
37,clothe,clad,clad
38,come,came,come
39,cost,cost,cost
40,creep,crept,crept
41,crossbreed,crossbred,crossbred
42,cut,cut,cut
43,daydream,daydreamed,daydreamed
44,daydream,daydreamt,daydreamt
45,deal,dealt,dealt
46,dig,dug,dug
47,disprove,disproved,disproved
48,dive,dove,dived
49,dive,dived,dived
50,do,did,done
51,draw,drew,drawn
52,dream,dreamed,dreamed
53,dream,dreamt,dreamt
54,drink,drank,drunk
55,drive,drove,driven
56,dwell,dwelt,dwelt
57,dwell,dwelled,dwelled
58,eat,ate,eaten
59,fall,fell,fallen
60,feed,fed,fed
61,feel,felt,felt
62,fight,fought,fought
63,find,found,found
64,fit,fitted,fitted
65,fit,fit,fit
66,fit,fit,fit
67,fit,fitted,fitted
68,flee,fled,fled
69,fling,flung,flung
70,fly,flew,flown
71,forbid,forbade,forbidden
72,forecast,forecast,forecast
73,forego,forewent,foregone
74,foresee,foresaw,foreseen
75,foretell,foretold,foretold
76,forget,forgot,forgotten
77,forgive,forgave,forgiven
78,forsake,forsook,forsaken
79,freeze,froze,frozen
80,frostbite,frostbit,frostbitten
81,get,got,gotten
82,give,gave,given
83,go,went,gone
84,grind,ground,ground
85,grow,grew,grown
86,hand-feed,hand-fed,hand-fed
87,handwrite,handwrote,handwritten
88,hang,hung,hung
89,have,had,had
90,hear,heard,heard
91,hew,hewed,hewn
92,hide,hid,hidden
93,hit,hit,hit
94,hold,held,held
95,hurt,hurt,hurt
96,inbreed,inbred,inbred
97,inlay,inlaid,inlaid
98,input,input,input
99,input,inputted,inputted
100,interbreed,interbred,interbred
101,interweave,interwove,interwoven
102,interweave,interweaved,interweaved
103,interwind,interwound,interwound
104,jerry-build,jerry-built,jerry-built
105,keep,kept,kept
106,kneel,knelt,knelt
107,kneel,kneeled,kneeled
108,knit,knitted,knitted
109,knit,knit,knit
110,know,knew,known
111,lay,laid,laid
112,lead,led,led
113,lean,leaned,leaned
114,lean,leant,leant
115,leap,leaped,leaped
116,leap,leapt,leapt
117,learn,learned,learned
118,learn,learnt,learnt
119,leave,left,left
120,lend,lent,lent
121,let,let,let
122,lie,lay,lain
123,lie (not tell truth) REGULAR,lied,lied
124,light,lit,lit
125,light,lighted,lighted
126,lip-read,lip-read,lip-read
127,lose,lost,lost
128,make,made,made
129,mean,meant,meant
130,meet,met,met
131,miscast,miscast,miscast
132,misdeal,misdealt,misdealt
133,misdo,misdid,misdone
134,mishear,misheard,misheard
135,mislay,mislaid,mislaid
136,mislead,misled,misled
137,mislearn,mislearned,mislearned
138,mislearn,mislearnt,mislearnt
139,misread,misread,misread
140,misset,misset,misset
141,misspeak,misspoke,misspoken
142,misspell,misspelled,misspelled
143,misspell,misspelt,misspelt
144,misspend,misspent,misspent
145,mistake,mistook,mistaken
146,misteach,mistaught,mistaught
147,misunderstand,misunderstood,misunderstood
148,miswrite,miswrote,miswritten
149,mow,mowed,mowed
150,"No irregular verbs beginning with ""N.""","No irregular verbs beginning with ""N.""","No irregular verbs beginning with ""N."""
151,offset,offset,offset
152,outbid,outbid,outbid
153,outbreed,outbred,outbred
154,outdo,outdid,outdone
155,outdraw,outdrew,outdrawn
156,outdrink,outdrank,outdrunk
157,outdrive,outdrove,outdriven
158,outfight,outfought,outfought
159,outfly,outflew,outflown
160,outgrow,outgrew,outgrown
161,outleap,outleaped,outleaped
162,outleap,outleapt,outleapt
163,outlie (not tell truth) REGULAR,outlied,outlied
164,outride,outrode,outridden
165,outrun,outran,outrun
166,outsell,outsold,outsold
167,outshine,outshined,outshined
168,outshine,outshone,outshone
169,outshoot,outshot,outshot
170,outsing,outsang,outsung
171,outsit,outsat,outsat
172,outsleep,outslept,outslept
173,outsmell,outsmelled,outsmelled
174,outsmell,outsmelt,outsmelt
175,outspeak,outspoke,outspoken
176,outspeed,outsped,outsped
177,outspend,outspent,outspent
178,outswear,outswore,outsworn
179,outswim,outswam,outswum
180,outthink,outthought,outthought
181,outthrow,outthrew,outthrown
182,outwrite,outwrote,outwritten
183,overbid,overbid,overbid
184,overbreed,overbred,overbred
185,overbuild,overbuilt,overbuilt
186,overbuy,overbought,overbought
187,overcome,overcame,overcome
188,overdo,overdid,overdone
189,overdraw,overdrew,overdrawn
190,overdrink,overdrank,overdrunk
191,overeat,overate,overeaten
