종목,날짜,시가,고가,저가,종가,수익률,변동성,거래량,매수량,매도량,외국인순거래량,기관순거래량,개인순거래량
삼성전자,2015-05-18,1335000,1335000,1309000,1320000,-0.00454,0.00002,192537,108294,84242,-9403,12243,-3096
삼성전자,2015-05-19,1321000,1355000,1307000,1338000,0.01354,0.00018,173618,98043,75574,23444,-4817,-18122
삼성전자,2015-05-20,1349000,1370000,1341000,1366000,0.02071,0.00043,205829,124746,81082,50959,5435,-53695
삼성전자,2015-05-21,1371000,1372000,1344000,1352000,-0.01030,0.00011,144212,70832,73379,25185,-28050,2414
삼성전자,2015-05-22,1353000,1353000,1335000,1350000,-0.00148,0.00000,163916,82857,81058,-9931,2280,7008
삼성전자,2015-05-26,1366000,1369000,1336000,1362000,0.00885,0.00008,200683,90984,109698,12905,-96,-15347
삼성전자,2015-05-27,1360000,1366000,1313000,1314000,-0.03588,0.00129,345309,138957,206351,-26515,-37080,64526
삼성전자,2015-05-28,1317000,1321000,1301000,1309000,-0.00381,0.00001,300963,110588,190374,10919,-39096,26056
삼성전자,2015-05-29,1320000,1321000,1297000,1307000,-0.00153,0.00000,347615,65368,282246,-5394,-24047,29393
삼성전자,2015-06-01,1300000,1301000,1288000,1291000,-0.01232,0.00015,218439,95713,122725,58,-29319,30303
삼성전자,2015-06-02,1300000,1303000,1288000,1303000,0.00925,0.00009,175151,92959,82191,23930,-11590,-10637
삼성전자,2015-06-03,1303000,1316000,1265000,1273000,-0.02329,0.00054,235388,102069,133318,-10390,-27604,38516
삼성전자,2015-06-04,1315000,1341000,1305000,1337000,0.04905,0.00241,388239,206044,182194,118299,-30553,-85416
삼성전자,2015-06-05,1325000,1355000,1320000,1341000,0.00299,0.00001,196563,125298,71264,4987,14964,-22768
삼성전자,2015-06-08,1345000,1347000,1313000,1314000,-0.02034,0.00041,202379,84346,118032,-36419,23424,12409
삼성전자,2015-06-09,1300000,1310000,1268000,1282000,-0.02465,0.00061,274705,104545,170159,-65728,1220,63986
삼성전자,2015-06-10,1282000,1294000,1262000,1262000,-0.01572,0.00025,250034,108251,141782,-62240,19813,42420
삼성전자,2015-06-11,1263000,1274000,1253000,1257000,-0.00397,0.00002,306281,122659,183621,-31824,-19411,50295
삼성전자,2015-06-12,1278000,1287000,1264000,1277000,0.01579,0.00025,234830,138056,96773,33889,-11117,-23117
삼성전자,2015-06-15,1255000,1274000,1255000,1270000,-0.00550,0.00003,161356,64182,97173,24977,-14794,-10170
삼성전자,2015-06-16,1270000,1274000,1245000,1255000,-0.01188,0.00014,255352,127400,127951,-39084,24763,15150
삼성전자,2015-06-17,1250000,1266000,1240000,1254000,-0.00080,0.00000,189046,78821,110224,12778,-13759,3664
삼성전자,2015-06-18,1259000,1279000,1251000,1265000,0.00873,0.00008,164952,82718,82233,-17233,30252,-12683
삼성전자,2015-06-19,1266000,1278000,1260000,1266000,0.00079,0.00000,141895,54505,87389,-35976,41475,-6453
삼성전자,2015-06-22,1291000,1296000,1276000,1281000,0.01178,0.00014,127418,60401,67016,24214,-7583,-16716
삼성전자,2015-06-23,1309000,1328000,1291000,1321000,0.03075,0.00095,203180,124232,78947,76930,-15278,-60110
삼성전자,2015-06-24,1300000,1311000,1291000,1302000,-0.01449,0.00021,203960,92280,111679,29032,-37783,9331
삼성전자,2015-06-25,1290000,1303000,1269000,1269000,-0.02567,0.00066,213916,54038,159877,4295,-37464,32739
삼성전자,2015-06-26,1252000,1290000,1252000,1278000,0.00707,0.00005,206950,87903,119046,48431,-41499,-7184
삼성전자,2015-06-29,1269000,1285000,1256000,1281000,0.00234,0.00001,230399,117041,113357,4266,577,-4295
삼성전자,2015-06-30,1276000,1285000,1266000,1268000,-0.01020,0.00010,197407,75256,122150,-3,-9949,10084
삼성전자,2015-07-01,1268000,1302000,1259000,1295000,0.02107,0.00044,166498,91444,75053,48346,-18898,-28191
삼성전자,2015-07-02,1286000,1304000,1285000,1299000,0.00308,0.00001,164460,84055,80404,21939,-15830,-5023
삼성전자,2015-07-03,1287000,1294000,1267000,1268000,-0.02415,0.00058,142604,48988,93615,1992,-28656,27131
삼성전자,2015-07-06,1253000,1260000,1223000,1230000,-0.03043,0.00093,201999,77928,124070,-78895,5535,72510
삼성전자,2015-07-07,1220000,1259000,1220000,1240000,0.00810,0.00007,249565,126286,123278,-16356,12869,4143
삼성전자,2015-07-08,1240000,1251000,1232000,1239000,-0.00081,0.00000,235619,99083,136535,-15194,13719,1547
삼성전자,2015-07-09,1230000,1265000,1226000,1265000,0.02077,0.00043,280610,170992,109617,-4498,25886,-20729
삼성전자,2015-07-10,1257000,1266000,1248000,1259000,-0.00475,0.00002,191468,92323,99144,-5049,3664,43
삼성전자,2015-07-13,1250000,1272000,1245000,1266000,0.00554,0.00003,153441,76404,77036,-935,11461,-10044
삼성전자,2015-07-14,1265000,1270000,1221000,1225000,-0.03292,0.00108,399794,168297,231496,-32172,-62540,94327
삼성전자,2015-07-15,1225000,1238000,1224000,1235000,0.00813,0.00007,167413,86544,80868,3235,-3071,157
삼성전자,2015-07-16,1223000,1287000,1223000,1282000,0.03735,0.00140,223469,119626,103842,39387,19549,-58088
삼성전자,2015-07-17,1300000,1311000,1278000,1305000,0.01778,0.00032,297233,176866,120366,44714,38928,-83552
삼성전자,2015-07-20,1291000,1304000,1273000,1275000,-0.02326,0.00054,128928,54954,73973,-532,-3719,4269
삼성전자,2015-07-21,1275000,1277000,1247000,1263000,-0.00946,0.00009,194055,91510,102544,-31754,8470,23765
삼성전자,2015-07-22,1244000,1260000,1235000,1253000,-0.00795,0.00006,268323,131157,137165,-27440,-11538,39587
삼성전자,2015-07-23,1244000,1253000,1234000,1234000,-0.01528,0.00023,208965,96023,112941,-79357,35884,42718
삼성전자,2015-07-24,1227000,1238000,1224000,1229000,-0.00406,0.00002,196584,107502,89081,-38177,6308,31705
삼성전자,2015-07-27,1229000,1247000,1228000,1230000,0.00081,0.00000,243040,108257,134782,-6145,-2159,6709
삼성전자,2015-07-28,1224000,1251000,1219000,1230000,0.00000,0.00000,267627,134366,133260,-14915,28626,-11845
삼성전자,2015-07-29,1250000,1275000,1231000,1263000,0.02648,0.00070,274689,141189,133499,1377,32044,-32993
삼성전자,2015-07-30,1258000,1260000,1215000,1215000,-0.03875,0.00150,308392,142803,165588,-98637,14372,85040
삼성전자,2015-07-31,1220000,1222000,1175000,1185000,-0.02500,0.00063,391589,179276,212312,-53909,-35294,89521
삼성전자,2015-08-03,1184000,1184000,1166000,1175000,-0.00847,0.00007,196891,107309,89581,-5638,-10119,15957
삼성전자,2015-08-04,1175000,1187000,1170000,1182000,0.00594,0.00004,256887,138407,118479,-6234,-7209,14183
삼성전자,2015-08-05,1182000,1182000,1158000,1159000,-0.01965,0.00039,256050,97769,158280,-11619,-34487,45571
삼성전자,2015-08-06,1155000,1156000,1115000,1115000,-0.03870,0.00150,403981,137467,266513,-53449,-32060,85132
삼성전자,2015-08-07,1120000,1137000,1115000,1136000,0.01866,0.00035,275742,146163,129578,71585,-46559,-24759
