date,open,high,low,close,volume
2016-01-04,1239852.422,1239852.422,1185731.88,1185731.88,306900
2016-01-05,1182779.851,1198524.009,1167035.693,1188683.91,216000
2016-01-06,1188683.916,1188683.916,1149323.521,1156211.59,366700
2016-01-07,1147355.5,1164083.667,1132595.352,1144403.47,282300
2016-01-08,1144403.471,1167035.698,1144403.471,1152275.55,257700
2016-01-11,1137515.399,1147355.498,1127675.301,1133579.36,241200
2016-01-12,1129643.32,1147355.497,1125707.28,1127675.3,206200
2016-01-13,1134563.369,1140467.428,1129643.32,1129643.32,143300
2016-01-14,1112915.151,1123739.259,1112915.151,1119803.22,209000
2016-01-15,1121771.239,1133579.357,1106027.081,1113899.16,209400
2016-01-18,1070602.725,1114883.169,1070602.725,1107995.1,320200
2016-01-19,1109963.126,1152275.55,1109963.126,1152275.55,207200
2016-01-20,1141451.437,1141451.437,1113899.161,1119803.22,167000
2016-01-21,1114883.17,1136531.387,1107011.091,1112915.15,190300
2016-01-22,1126691.293,1149323.52,1126691.293,1149323.52,147500
2016-01-25,1153259.559,1157195.598,1137515.401,1143419.46,159900
2016-01-26,1136531.387,1138499.407,1117835.2,1118819.21,152300
2016-01-27,1107995.107,1156211.59,1107995.107,1156211.59,276200
2016-01-28,1145387.477,1149323.517,1120787.231,1126691.29,315900
2016-01-29,1121771.241,1131611.34,1098155.005,1131611.34,436900
2016-02-01,1133579.362,1144403.47,1132595.352,1144403.47,259900
2016-02-02,1142435.449,1147355.499,1128659.311,1137515.4,166300
2016-02-03,1131611.339,1133579.359,1118819.211,1127675.3,174500
2016-02-04,1131611.341,1142435.449,1129643.321,1137515.4,247900
2016-02-05,1137515.401,1150307.529,1137515.401,1145387.48,188000
2016-02-11,1100123.022,1118819.209,1100123.022,1111931.14,305200
2016-02-12,1111931.14,1132595.347,1104059.061,1111931.14,256200
2016-02-15,1135547.38,1141451.439,1125707.281,1135547.38,183100
2016-02-16,1139483.421,1160147.628,1138499.412,1149323.52,180400
2016-02-17,1160147.631,1181795.848,1150307.532,1166051.69,246000
